"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Houston Texans","","49.5","14.2","12.4","18.4","2.7","1.0","320.1","5,058.4","120.8"
"Denver Broncos","","58.9","14.0","8.4","12.3","2.6","0.0","314.3","4,840.4","119.2"
"Minnesota Vikings","","49.8","11.9","12.6","18.0","2.5","0.0","368.5","5,291.6","113.7"
"Pittsburgh Steelers","","47.2","11.9","13.3","18.8","2.6","0.0","340.7","5,443.1","113.0"
"Seattle Seahawks","","46.5","13.4","9.6","13.5","3.3","0.0","314.0","5,115.5","112.5"
"Detroit Lions","","49.7","13.4","9.4","13.7","2.7","0.0","366.3","5,450.2","111.6"
"Atlanta Falcons","","52.3","12.9","9.1","13.3","2.5","0.0","413.3","5,539.9","111.2"
"Los Angeles Chargers","","49.9","14.4","8.5","12.6","2.5","0.0","375.2","5,467.6","110.7"
"Los Angeles Rams","","47.4","13.6","10.2","14.5","2.5","0.0","337.3","5,241.8","110.1"
"Chicago Bears","","40.8","14.5","11.5","16.7","2.6","0.0","384.6","5,910.0","108.7"
"Baltimore Ravens","","46.5","12.7","9.8","13.9","2.5","0.0","353.3","5,293.8","106.4"
"Buffalo Bills","","44.1","13.9","8.8","13.1","2.7","0.0","405.2","5,734.7","105.5"
"Philadelphia Eagles","","42.3","13.5","10.0","14.4","2.6","0.0","326.3","5,256.9","104.8"
"New Orleans Saints","","46.3","12.5","9.4","13.2","2.4","0.0","401.6","5,480.4","104.6"
"Tennessee Titans","","47.3","11.0","9.3","13.1","2.6","0.0","463.3","5,961.8","103.5"
"Cincinnati Bengals","","42.8","12.6","9.7","13.4","2.7","0.0","404.1","5,824.2","103.3"
"New England Patriots","","42.5","12.9","8.9","12.5","2.8","0.0","357.7","5,264.3","103.2"
"Cleveland Browns","","47.0","12.2","8.9","12.7","2.3","0.0","371.4","5,186.9","103.2"
"Washington Commanders","","44.8","11.1","9.5","13.6","2.6","0.0","446.9","6,136.0","101.2"
"Miami Dolphins","","45.0","10.7","9.6","13.7","2.5","0.0","467.9","6,087.8","100.2"
"Jacksonville Jaguars","","37.2","12.9","9.3","13.6","2.9","0.0","386.2","5,491.6","99.2"
"Tampa Bay Buccaneers","","41.1","12.1","9.6","13.5","2.4","0.0","389.8","5,600.5","98.9"
"Green Bay Packers","","40.1","12.4","9.6","13.5","2.4","0.0","371.3","5,509.4","98.4"
"Las Vegas Raiders","","42.7","10.9","10.1","14.0","2.2","0.0","439.6","5,729.1","97.9"
"Kansas City Chiefs","","42.5","12.1","8.4","12.3","2.3","0.0","360.8","5,399.5","97.4"
"New York Giants","","40.6","11.2","8.7","12.9","2.5","0.0","433.4","6,057.5","95.5"
"Indianapolis Colts","","40.1","11.9","8.5","12.1","2.4","0.0","384.2","5,512.0","95.1"
"Arizona Cardinals","","35.7","12.1","10.2","14.4","2.4","0.0","486.2","6,151.3","94.4"
"Dallas Cowboys","","41.0","10.1","9.2","13.2","2.3","0.0","448.0","6,085.6","93.5"
"New York Jets","","37.7","10.9","8.0","11.7","2.9","0.0","431.7","5,660.4","92.9"
"San Francisco 49ers","","35.3","11.1","10.5","15.4","2.4","0.0","395.5","5,640.4","92.7"
"Carolina Panthers","","39.8","11.9","7.1","10.5","2.2","0.0","397.3","5,778.2","90.8"
""
""
