"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","267.4","1,336.9","14.6","70.4","584.8","4.2","1.1","302.5"
"Bijan Robinson","ATL","RB2","294.2","1,438.1","9.7","77.3","752.8","3.7","1.8","295.9"
"Jonathan Taylor","IND","RB3","343.1","1,547.6","13.3","47.7","346.1","1.6","1.7","275.5"
"Derrick Henry","BAL","RB4","310.4","1,565.7","14.0","18.7","186.2","1.1","1.7","262.6"
"Christian McCaffrey","SF","RB5","258.3","1,043.6","8.8","74.7","658.6","5.0","1.1","250.8"
"Puka Nacua","LAR","WR1","15.5","107.3","1.6","126.0","1,645.2","9.4","1.0","239.2"
"De'Von Achane","MIA","RB6","243.9","1,221.7","6.1","70.4","530.9","4.4","1.0","236.3"
"James Cook III","BUF","RB7","294.0","1,417.5","10.0","34.0","285.0","1.8","2.4","236.2"
"Jaxon Smith-Njigba","SEA","WR2","5.8","30.6","0.1","119.3","1,671.1","10.8","1.1","233.0"
"Josh Jacobs","GB","RB8","292.1","1,164.2","13.0","36.0","287.6","1.3","1.3","228.5"
"Saquon Barkley","PHI","RB9","303.2","1,347.7","7.8","41.6","341.1","2.1","1.0","226.8"
"Ashton Jeanty","LV","RB10","286.5","1,092.8","8.6","59.9","417.6","3.5","1.1","221.2"
"Chase Brown","CIN","RB11","238.1","1,025.6","8.2","68.1","452.6","3.9","1.1","218.2"
"Ja'Marr Chase","CIN","WR3","3.5","20.0","0.1","123.7","1,528.3","10.3","1.0","215.3"
"Breece Hall","NYJ","RB12","259.7","1,155.8","7.3","47.4","415.7","2.4","1.7","211.5"
"Omarion Hampton","LAC","RB13","245.2","1,044.4","10.4","51.5","345.9","1.9","1.1","210.8"
"Kyren Williams","LAR","RB14","242.6","1,123.5","10.4","33.2","236.9","2.3","1.6","209.1"
"Javonte Williams","DAL","RB15","260.7","1,173.1","11.0","33.1","179.8","1.3","1.6","205.9"
"Amon-Ra St. Brown","DET","WR4","2.7","10.7","0.1","116.5","1,397.4","10.7","0.4","204.6"
"Jeremiyah Love","ARI","RB16","234.4","1,076.1","7.3","53.5","420.7","2.1","2.2","202.1"
"Kenneth Walker III","KC","RB17","253.1","1,150.3","8.0","46.6","358.7","0.8","0.9","201.7"
"Cam Skattebo","NYG","RB18","234.2","1,000.8","8.1","45.7","363.5","2.8","1.6","198.8"
"Drake London","ATL","WR5","0.0","0.0","0.0","103.0","1,339.8","10.7","1.0","196.0"
"Travis Etienne Jr.","NO","RB19","255.3","1,054.7","5.5","45.8","367.1","3.5","1.0","194.4"
"D'Andre Swift","CHI","RB20","233.2","1,054.7","8.6","32.6","291.8","1.1","1.0","190.5"
