"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","1","3","1.9","1.0","-"
"2",1,"Bijan Robinson",ATL,"RB1","2","2","2.0","0.0","-"
"3",1,"Puka Nacua",LAR,"WR2","1","3","2.1","1.0","-"
"4",1,"Jaxon Smith-Njigba",SEA,"WR3","4","4","4.0","0.0","-"
"5",1,"Jahmyr Gibbs",DET,"RB2","5","5","5.0","0.0","-"
"6",2,"CeeDee Lamb",DAL,"WR4","6","8","6.5","0.9","-"
"7",2,"Amon-Ra St. Brown",DET,"WR5","6","8","7.5","0.9","-"
"8",2,"Christian McCaffrey",SF,"RB3","7","13","8.1","1.9","-"
"9",2,"De'Von Achane",MIA,"RB4","7","13","10.8","2.3","-"
"10",2,"Justin Jefferson",MIN,"WR6","11","14","11.4","0.9","-"
"11",3,"Drake London",ATL,"WR7","9","14","11.4","1.7","-"
"12",3,"Malik Nabers",NYG,"WR8","9","18","11.9","3.4","-"
"13",3,"Jonathan Taylor",IND,"RB5","10","23","12.8","3.5","-"
"14",3,"Rashee Rice",KC,"WR9","11","19","13.2","2.2","-"
"15",3,"Nico Collins",HOU,"WR10","14","19","15.6","1.7","-"
"16",3,"Trey McBride",ARI,"TE1","16","22","16.6","1.7","-"
"17",3,"George Pickens",DAL,"WR11","15","19","17.0","1.9","-"
"18",3,"Chris Olave",NO,"WR12","14","20","18.1","1.9","-"
"19",3,"Ashton Jeanty",LV,"RB6","10","24","19.0","4.0","-"
"20",4,"James Cook III",BUF,"RB7","17","23","19.7","2.1","-"
"21",4,"A.J. Brown",PHI,"WR13","19","26","20.7","2.5","-"
"22",4,"Brock Bowers",LV,"TE2","16","22","21.4","1.7","-"
"23",4,"Omarion Hampton",LAC,"RB8","21","31","23.8","2.4","-"
"24",4,"Josh Allen",BUF,"QB1","25","25","25.0","0.0","-"
"25",4,"Tetairoa McMillan",CAR,"WR14","26","28","26.4","0.8","-"
"26",4,"Drake Maye",NE,"QB2","27","27","27.0","0.0","-"
"27",4,"Garrett Wilson",NYJ,"WR15","20","35","27.2","3.9","-"
"28",4,"Tee Higgins",CIN,"WR16","28","35","30.0","2.4","-"
"29",4,"Chase Brown",CIN,"RB9","24","39","30.8","5.1","-"
"30",4,"Saquon Barkley",PHI,"RB10","17","50","31.0","8.5","-"
"31",4,"Lamar Jackson",BAL,"QB3","30","37","31.3","2.7","-"
"32",5,"Josh Jacobs",GB,"RB11","24","50","33.6","6.9","-"
"33",5,"Bucky Irving",TB,"RB12","31","39","33.8","2.7","-"
"34",5,"Ladd McConkey",LAC,"WR17","35","45","37.3","3.0","-"
"35",5,"Jameson Williams",DET,"WR18","35","40","37.5","1.9","-"
"36",5,"Zay Flowers",BAL,"WR19","29","45","38.6","4.4","-"
"37",5,"Breece Hall",NYJ,"RB13","33","46","39.1","4.6","-"
"38",5,"Davante Adams",LAR,"WR20","36","48","41.1","4.5","-"
"39",5,"Joe Burrow",CIN,"QB4","30","54","41.9","9.5","-"
"40",5,"Derrick Henry",BAL,"RB14","34","46","43.1","3.9","-"
"41",5,"TreVeyon Henderson",NE,"RB15","39","58","43.4","5.5","-"
"42",5,"RJ Harvey",DEN,"RB16","39","53","43.4","4.7","-"
"43",5,"Jaylen Waddle",MIA,"WR21","40","51","44.0","3.4","-"
"44",6,"DeVonta Smith",PHI,"WR22","42","51","46.0","2.7","-"
"45",6,"Luther Burden III",CHI,"WR23","42","52","47.1","3.8","-"
"46",6,"Kyren Williams",LAR,"RB17","46","50","47.7","1.8","-"
"47",6,"Mike Evans",TB,"WR24","42","55","48.2","4.8","-"
"48",6,"Jayden Daniels",WAS,"QB5","37","59","48.7","9.1","-"
"49",6,"Terry McLaurin",WAS,"WR25","40","60","49.9","6.1","-"
"50",6,"Courtland Sutton",DEN,"WR26","42","64","51.3","5.9","-"
"51",6,"Travis Etienne Jr.",JAC,"RB18","46","65","51.3","5.3","-"
"52",6,"Kenneth Walker III",SEA,"RB19","47","56","51.4","3.5","-"
"53",6,"Colston Loveland",CHI,"TE3","32","73","51.8","15.7","-"
"54",6,"Cam Skattebo",NYG,"RB20","47","75","56.3","6.9","-"
"55",6,"DK Metcalf",PIT,"WR27","45","76","57.5","8.8","-"
"56",6,"Emeka Egbuka",TB,"WR28","45","83","58.3","10.1","-"
"57",6,"Javonte Williams",DAL,"RB21","50","67","58.5","4.2","-"
"58",6,"Jalen Hurts",PHI,"QB6","54","63","59.6","2.5","-"
"59",6,"Brian Thomas Jr.",JAC,"WR29","48","69","60.1","6.2","-"
"60",7,"Christian Watson",GB,"WR30","48","76","61.9","8.3","-"
"61",7,"Tyler Warren",IND,"TE4","32","73","62.2","11.7","-"
"62",7,"Quinshon Judkins",CLE,"RB22","56","75","62.8","5.7","-"
"63",7,"Jaxson Dart",NYG,"QB7","59","74","62.9","3.9","-"
"64",7,"D'Andre Swift",CHI,"RB23","61","67","64.6","1.9","-"
"65",7,"Jakobi Meyers",JAC,"WR31","52","91","65.6","14.3","-"
"66",7,"Tucker Kraft",GB,"TE5","57","87","67.2","9.7","-"
"67",7,"Jaylen Warren",PIT,"RB24","65","75","68.9","3.1","-"
"68",7,"Ricky Pearsall",SF,"WR32","52","81","69.0","9.2","-"
"69",7,"Stefon Diggs",NE,"WR33","68","76","69.9","2.2","-"
"70",7,"Harold Fannin Jr.",CLE,"TE6","32","85","71.3","14.1","-"
"71",7,"Chris Godwin Jr.",TB,"WR34","60","88","72.4","10.0","-"
"72",7,"Rome Odunze",CHI,"WR35","62","82","72.5","6.1","-"
"73",7,"Justin Herbert",LAC,"QB8","70","92","73.2","6.5","-"
"74",7,"Zach Charbonnet",SEA,"RB25","58","146","75.9","22.8","-"
"75",7,"Marvin Harrison Jr.",ARI,"WR36","55","90","78.8","10.1","-"
"76",7,"Patrick Mahomes II",KC,"QB9","70","98","78.8","8.2","-"
"77",7,"Rico Dowdle",CAR,"RB26","72","99","79.6","8.1","-"
"78",7,"Kyle Monangai",CHI,"RB27","77","93","81.8","4.9","-"
"79",7,"Michael Wilson",ARI,"WR37","55","94","81.9","11.2","-"
"80",8,"Tony Pollard",TEN,"RB28","77","102","84.1","6.2","-"
"81",8,"Michael Pittman Jr.",IND,"WR38","81","91","85.8","3.6","-"
"82",8,"Sam LaPorta",DET,"TE7","85","87","85.9","1.0","-"
"83",8,"Dak Prescott",DAL,"QB10","70","101","86.5","11.9","-"
"84",8,"Woody Marks",HOU,"RB29","77","118","87.2","13.3","-"
"85",8,"Trevor Lawrence",JAC,"QB11","70","101","88.5","10.4","-"
"86",8,"James Conner",ARI,"RB30","78","117","89.5","14.0","-"
"87",8,"Travis Hunter",JAC,"WR39","71","142","90.4","21.0","-"
"88",8,"Jordan Addison",MIN,"WR40","76","109","90.7","8.1","-"
"89",8,"Kyle Pitts Sr.",ATL,"TE8","85","95","91.2","4.2","-"
"90",8,"Caleb Williams",CHI,"QB12","74","101","91.5","10.7","-"
"91",8,"Aaron Jones Sr.",MIN,"RB31","86","103","92.0","6.8","-"
"92",8,"Rhamondre Stevenson",NE,"RB32","77","99","92.5","6.0","-"
"93",8,"Blake Corum",LAR,"RB33","78","120","92.7","12.7","-"
"94",8,"Brock Purdy",SF,"QB13","79","101","93.8","5.7","-"
"95",8,"Wan'Dale Robinson",NYG,"WR41","90","109","95.1","5.2","-"
"96",8,"Dalton Kincaid",BUF,"TE9","87","111","99.3","6.9","-"
"97",8,"Trey Benson",ARI,"RB34","89","118","102.2","8.8","-"
"98",8,"Jauan Jennings",SF,"WR42","91","110","102.6","7.5","-"
"99",8,"Jake Ferguson",DAL,"TE10","95","111","103.4","6.8","-"
"100",8,"Quentin Johnston",LAC,"WR43","88","123","104.0","10.5","-"
"101",8,"Khalil Shakir",BUF,"WR44","94","121","104.1","10.2","-"
"102",8,"Alec Pierce",IND,"WR45","91","116","105.5","8.5","-"
"103",8,"Bhayshul Tuten",JAC,"RB35","78","130","105.7","15.1","-"
"104",8,"Matthew Stafford",LAR,"QB14","104","113","105.7","3.4","-"
"105",9,"Chuba Hubbard",CAR,"RB36","77","120","105.9","17.5","-"
"106",9,"Jordan Love",GB,"QB15","104","114","106.5","2.7","-"
"107",9,"Bo Nix",DEN,"QB16","104","108","106.8","1.6","-"
"108",9,"Tyreek Hill",MIA,"WR46","96","110","107.3","4.5","-"
"109",9,"Alvin Kamara",NO,"RB37","78","132","108.0","15.3","-"
"110",9,"Oronde Gadsden II",LAC,"TE11","95","138","109.0","13.0","-"
"111",9,"DJ Moore",CHI,"WR47","94","133","109.4","11.1","-"
"112",9,"David Montgomery",DET,"RB38","99","127","111.4","10.1","-"
"113",9,"Jared Goff",DET,"QB17","108","114","112.6","1.5","-"
"114",9,"Juwan Johnson",NO,"TE12","97","124","113.2","9.0","-"
"115",9,"George Kittle",SF,"TE13","32","256","113.5","73.8","-"
